sentence,label,idx
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0,119
very well-written and very well-acted . ,1,120
are n't many conclusive answers in the film ,0,121
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0,122
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0,123
bring tissues . ,1,124
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0,125
brings the proper conviction to his role as ( jason bourne ) . ,1,126
"as a young woman of great charm , generosity and diplomacy ",1,127
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1,128
just too silly ,0,129
cinematic bon bons ,1,130
it is supremely unfunny and unentertaining to watch middle-age and ,0,131
a lively and engaging examination of how similar obsessions can dominate a family . ,1,132
irritates and ,0,133
collapse ,0,134
so many of the challenges it poses for itself that one can forgive the film its flaws ,1,135
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1,136
wide-awake all the way through ,1,137
"( vainly , i think ) ",0,138
is one big excuse to play one lewd scene after another . ,0,139
is effective if you stick with it ,1,140
that underscore the importance of family tradition and familial community ,1,141
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1,142
"watching this digital-effects-heavy , supposed family-friendly comedy ",0,143
absolutely and completely ridiculous and ,0,144
's a very tasteful rock and roll movie . ,1,145
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0,146
realistic portrayal ,1,147
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ",0,148
well-thought stunts or ,1,149
reveals how important our special talents can be when put in service of of others . ,1,150
no lika da ,0,151
a welcome relief ,1,152
the promise of digital filmmaking ,1,153
just one that could easily wait for your pay per view dollar ,0,154
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0,155
extraordinary faith ,1,156
have i seen a film so willing to champion the fallibility of the human heart ,1,157
", sometimes beautiful adaptation ",1,158
about as interesting ,0,159
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",1,160
"overlong , and bombastic ",0,161
derivative and hammily ,0,162
"most audacious , outrageous , ",1,163
at its best moments ,1,164
disney again ransacks its archives for a quick-buck sequel . ,0,165
"that final , beautiful scene ",1,166
"some movies suck you in despite their flaws , ",1,167
"eats , meddles , argues , laughs , kibbitzes and fights ",1,168
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ",0,169
", compelling ",1,170
infectiously ,1,171
"the picture runs a mere 84 minutes , but it 's no glance . ",1,172
think of this dog of a movie ,0,173
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,1,174
those so-so films that could have been much better ,0,175
a passable date film ,1,176
imax in short ,1,177
i hate it . ,0,178
's pleasant enough -- and oozing with attractive men ,1,179
"no one involved , save dash , shows the slightest aptitude for acting ",0,180
in this wildly uneven movie ,0,181
"pokes , provokes , takes expressionistic license ",1,182
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0,183
"with color and depth , and rather a good time ",1,184
"silly , outrageous , ingenious ",1,185
being able to hit on a 15-year old when you 're over 100 ,0,186
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",0,187
the year 's best and most unpredictable comedy ,1,188
starts off so bad that you feel like running out screaming ,0,189
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0,190
elvira fans could hardly ask for more . ,1,191
a good one ,1,192
", plodding picture ",0,193
"the character dramas , which never reach satisfying conclusions ",0,194
lost in the translation this time ,0,195
speak for it while it forces you to ponder anew what a movie can be ,1,196
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,1,197
a plot cobbled together from largely flat and uncreative moments ,0,198
inane and awful ,0,199
told in scattered fashion ,0,200
takes chances that are bold by studio standards ,1,201
"believe it or not , jason actually takes a backseat in his own film to special effects ",0,202
only thing to fear about `` fear dot com '' ,0,203
whole mess ,0,204
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,1,205
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,1,206
a résumé loaded with credits like `` girl in bar # 3 ,0,207
enjoy the ride ,1,208
very little to add beyond the dark visions already relayed by superb recent predecessors ,0,209
"the , yes , snail-like pacing ",0,210
an extremely unpleasant film . ,0,211
"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,212
"the whole affair , true story or not , feels incredibly hokey ... ",0,213
are all things we 've seen before ,0,214
poignant and leavened ,1,215
breathless anticipation ,1,216
significantly better ,1,217
as predictable as the tides ,0,218
bewilderingly brilliant and entertaining ,1,219
it 's smooth and professional ,1,220
", unassuming , subordinate ",0,221
the horror ,0,222
a technically superb film ,1,223
the positive change in tone here seems to have recharged him . ,1,224
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ",1,225
a dim ,0,226
", vicious and absurd ",0,227
because he acts so goofy all the time ,0,228
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,1,229
"'s at once laughable and compulsively watchable , ",1,230
merit its 103-minute length ,1,231
the value and respect for the term epic cinema ,1,232
as a dentist 's waiting room ,0,233
showing honest emotions ,1,234
amazingly lame . ,0,235
confessions may not be a straightforward bio ,0,236
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,0,237
the story is bogus and ,0,238
this comic gem is as delightful as it is derivative . ,1,239
to spare wildlife ,1,240
ugly as the shabby digital photography ,0,241
understand the difference between dumb fun and just plain dumb ,0,242
traditionally structured ,1,243
frida is n't that much different from many a hollywood romance . ,0,244
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1,245
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1,246
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0,247
carnage and ,0,248
"degraded , handheld blair witch video-cam footage ",0,249
second fiddle ,0,250
about the folly of superficiality that is itself ,0,251
"serves as auto-critique , and its clumsiness as its own most damning censure . ",0,252
tedious norwegian offering which somehow snagged an oscar nomination . ,0,253
", esther kahn is unusual but unfortunately also irritating . ",0,254
a stylish exercise ,1,255
halfway through this picture i was beginning to hate it ,0,256
a setup so easy it borders on facile ,0,257
a thoroughly awful movie ,0,258
takes hold and grips hard ,1,259
"look smeary and blurry , to the point of distraction ",0,260
the picture 's fascinating byways ,1,261
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ",0,262
"breezy , distracted rhythms ",0,263
than this mess ,0,264
"evanescent , seamless and sumptuous stream ",1,265
slick and manufactured to claim street credibility . ,1,266
"take care is nicely performed by a quintet of actresses , ",1,267
valuable messages ,1,268
in no small part thanks to lau ,1,269
two guys who desperately want to be quentin tarantino when they grow up ,0,270
no new plot conceptions ,0,271
essentially a collection of bits -- ,0,272
does n't bode well for the rest of it ,0,273
elevated by it -- the kind of movie ,1,274
usual worst ,0,275
"hugh grant , who has a good line in charm ",1,276
arrive early and stay late ,1,277
"is a pan-american movie , with moments of genuine insight into the urban heart . ",1,278
i could have used my two hours better watching being john malkovich again . ,0,279
"shot in artful , watery tones of blue , green and brown ",1,280
an unorthodox little film noir organized crime story that includes one of the strangest ,1,281
considerable aplomb ,1,282
acted by diane lane and richard gere . ,1,283
scant ,0,284
an admittedly middling film ,1,285
too ludicrous ,0,286
the rock 's fighting skills are more in line with steven seagal ,1,287
rich and full ,1,288
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ",1,289
"that uses a sensational , real-life 19th-century crime as a metaphor for ",1,290
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",1,291
", the film retains ambiguities that make it well worth watching . ",1,292
ultra-cheesy dialogue ,0,293
added depth and resonance ,1,294
the sensational ,1,295
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,1,296
handsome but unfulfilling suspense drama ,0,297
's not very good either . ,0,298
in her most charmless ,0,299
makes an unusual but pleasantly haunting debut behind the camera . ,1,300
"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ",1,301
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",0,302
the cast is spot on and ,1,303
ugly digital video ,0,304
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1,305
rather choppy ,0,306
becomes one more dumb high school comedy about sex gags and prom dates ,0,307
demands and receives excellent performances ,1,308
"xxx is a blast of adrenalin , ",1,309
pure escapism ,1,310
create a film that 's not merely about kicking undead *** ,1,311
about love and culture ,1,312
is worse : ,0,313
horrifying ,0,314
mourns her tragedies in private ,0,315
the action scenes are poorly delivered ,0,316
it 's so bad ,0,317
so bad ,0,318
", 84 minutes is short ",1,319
"dabbles all around , never gaining much momentum ",0,320
a masterpiece ,1,321
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,322
does n't leave you with much . ,0,323
good acting ,1,324
"like most of jaglom 's films , some of it is honestly affecting ",1,325
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0,326
is less successful on other levels ,0,327
's still quite worth seeing ,1,328
intelligent and moving . ,1,329
he appears miserable throughout as he swaggers through his scenes ,0,330
men ,1,331
accomplish what few sequels can ,1,332
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0,333
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,334
"exhilarating , funny and fun . ",1,335
bound to appeal to women looking for a howlingly trashy time ,1,336
", it never quite makes the grade as tawdry trash . ",0,337
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,1,338
"endearing , caring ",1,339
"seagal , who looks more like danny aiello these days ",1,340
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",0,341
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ",1,342
the dehumanizing and ego-destroying process ,0,343
taboo subject matter ,0,344
see this ,1,345
utterly incompetent conclusion ,0,346
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... ,1,347
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,1,348
run for cover ,0,349
low budget ,0,350
a deceptively casual ode ,1,351
"walked out muttering words like `` horrible '' and `` terrible , '' ",0,352
help chicago make the transition from stage to screen with considerable appeal intact ,1,353
you have ellen pompeo sitting next to you for the ride ,1,354
a giant step backward ,0,355
true fans ,1,356
just copies ,0,357
quite rich and exciting ,1,358
luminous interviews and amazingly evocative film from three decades ago ,1,359
"from lynch , jeunet , and von trier while failing to find a spark of its own ",0,360
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",1,361
this frozen tundra soap opera ,0,362
a showdown ,1,363
is simply too overdone ,0,364
greatly ,1,365
free ,1,366
intriguing species ,1,367
try and evade ,0,368
"scherfig , who has had a successful career in tv ",1,369
watching it leaves you giddy ,1,370
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ",1,371
far tamer ,0,372
outrageously creative action ,1,373
the most purely enjoyable and satisfying evenings ,1,374
is never any question of how things will turn out ,0,375
only open new wounds ,0,376
despite suffering a sense-of-humour failure ,0,377
for a story ,1,378
in addition to hoffman 's powerful acting clinic ,1,379
right stuff ,1,380
the wonderful cinematography and naturalistic acting ,1,381
high-concept films ,1,382
sleepwalk through vulgarities in a sequel you can refuse ,0,383
with no reason for being ,0,384
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",0,385
"invigorating , surreal , and resonant ",1,386
"the chateau , a sense of light-heartedness , that makes it attractive throughout ",1,387
have a passion for the material ,1,388
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ",1,389
a movie that ca n't get sufficient distance from leroy 's ,0,390
romanticized rendering ,1,391
is terrific as rachel ,1,392
of special effects that run the gamut from cheesy to cheesier to cheesiest ,0,393
the worst film a man has made about women since valley of the dolls ,0,394
"come , already having been recycled more times than i 'd care to count ",0,395
with awe ,1,396
joyous romp of a film . ,1,397
a nonstop hoot ,1,398
", partisans and sabotage ",0,399
gory as the scenes of torture and self-mutilation ,0,400
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,1,401
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ",1,402
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0,403
"this obscenely bad dark comedy , so crass ",0,404
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,1,405
exciting and ,1,406
schticky ,0,407
and in the best way ,1,408
of our most flamboyant female comics ,1,409
squareness that would make it the darling of many a kids-and-family-oriented cable channel ,1,410
"( less a movie than ) an appalling , odoriferous thing ... so ",0,411
this film special ,1,412
of the amazing spider-man ,1,413
the stomach-turning violence ,0,414
could use a little more humanity ,0,415
not everything ,0,416
"acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . ",1,417
a slow-moving police-procedural thriller ,0,418
a bad idea from frame one ,0,419
"terrific , sweaty-palmed fun ",1,420
very funny joke ,1,421
volletta wallace 's maternal fury ,0,422
complex story ,1,423
atop wooden dialogue ,0,424
that it progresses in such a low-key manner that it risks monotony ,0,425
be burns 's strongest film since the brothers mcmullen ,1,426
ca n't miss it ,1,427
dover kosashvili 's outstanding feature debut so potent ,1,428
of the best short story writing ,1,429
it seeks excitement in manufactured high drama ,0,430
feeble comedy . ,0,431
an insult to every family ,0,432
it is essentially empty ,0,433
of the film 's problems ,0,434
makes my big fat greek wedding look like an apartheid drama ,0,435
is not even half the interest . ,0,436
never achieve the popularity of my big fat greek wedding ,0,437
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,1,438
"right now , they 're merely signposts marking the slow , lingering death of imagination . ",0,439
appealing character quirks to forgive that still serious problem ,1,440
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ",0,441
the energy it takes to describe how bad it is ,0,442
wait to see it then . ,0,443
could easily be called the best korean film of 2002 ,1,444
largest-ever historical canvas ,1,445
"a solid cast , assured direction and complete lack of modern day irony . ",1,446
comatose ballerinas ,0,447
oh-so-important ,1,448
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0,449
formulaic equations ,0,450
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ",1,451
deserve a passing grade ,1,452
you 're gon na like this movie . ,1,453
"simply stupid , irrelevant ",0,454
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,1,455
a heavy-handed indictment of parental failings and ,0,456
felt performances across the board . ,1,457
seem weird and distanced ,0,458
has finally made a movie that is n't just offensive ,1,459
casual and fun ,1,460
plodding mess ,0,461
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",0,462
the film 's intimate camera work ,1,463
you 'll find yourself wishing that you and they were in another movie . ,0,464
of dishonesty ,0,465
as bestial ,0,466
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0,467
", they prove more distressing than suspenseful . ",0,468
crackles ,1,469
a fairly revealing study of its two main characters ,1,470
"high drama , disney-style ",1,471
"may be more genial than ingenious , but it gets the job done . ",1,472
", good action , good acting , good dialogue , good pace , good cinematography . ",1,473
her bully of a husband ,0,474
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,0,475
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,0,476
"oozing , chilling and heart-warming ",1,477
stale retread ,0,478
filming the teeming life on the reefs ,1,479
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,0,480
quite endearing . ,1,481
with fewer gags to break the tedium ,0,482
overbearing and ,0,483
deep deceptions ,0,484
things will turn out okay ,1,485
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,1,486
grand ,1,487
good-natured fun found in films like tremors ,1,488
betters it ,1,489
transfixes the audience ,1,490
moving and important ,1,491
dope ,1,492
an avid interest ,1,493
"blessed with two fine , nuanced lead performances ",1,494
true star ,1,495
"hampered -- no , paralyzed -- by a self-indulgent script ... ",0,496
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0,497
"is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ",1,498
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,0,499
that 's both charming and well acted ,1,500
a bad blend ,0,501
the guy-in-a-dress genre ,1,502
director claude chabrol has become the master of innuendo . ,1,503
riveting and ,1,504
excruciatingly unfunny and pitifully unromantic . ,0,505
war movies ,0,506
an inuit masterpiece ,1,507
oscar ,1,508
the cliché-laden screenplay ,0,509
"girlfriends are bad , wives are worse ",0,510
provide much more insight ,1,511
", and as easy to be bored by as your abc 's , ",0,512
what you wish for ,1,513
fluid and mesmerizing ,1,514
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ",1,515
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ",1,516
ransacks ,0,517
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,0,518
book report ,0,519
leave the theater ,0,520
spousal abuse ,0,521
"the director , with his fake backdrops and stately pacing , ",0,522
a diverse and astonishingly articulate cast of palestinian and israeli children . ,1,523
anyone who suffers through this film ,0,524
one carried by a strong sense of humanism ,1,525
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ",0,526
another entertaining romp from robert rodriguez . ,1,527
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ",1,528
it 'll probably be in video stores by christmas ,0,529
"funny , triumphant , ",1,530
underachiever ,0,531
a film of ideas and wry comic mayhem ,1,532
of moviegoers for real characters and compelling plots ,1,533
dime-store ruminations ,0,534
worth a ,1,535
", reality shows -- reality shows for god 's sake ! ",0,536
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",0,537
'll cry for your money back ,0,538
enthralling ,1,539
"is worse : the part where nothing 's happening , or the part where something 's happening ",0,540
"like max rothman 's future , does not work . ",0,541
of quirky characters and an engaging story ,1,542
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ",0,543
"making kahlo 's art a living , ",1,544
bad run ,0,545
may just end up trying to drown yourself in a lake afterwards . ,0,546
many pleasures ,1,547
is worth searching out ,1,548
"at this time , with this cast , this movie is hopeless ",0,549
time bombs ,0,550
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,1,551
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,0,552
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ",0,553
a sour taste in one 's mouth ,0,554
decent performance ,1,555
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ",0,556
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ",1,557
responsible for one of the worst movies of one year ,0,558
"appalling , shamelessly manipulative and contrived ",0,559
movie love ,1,560
human darkness ,0,561
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0,562
it 's too loud to shout insults at the screen ,0,563
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ",0,564
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- ,1,565
the perfect movie ,1,566
ardently waste viewers ' time with a gobbler like this ,0,567
oscar-sweeping franchise predecessor ,1,568
it sets out with no pretensions and delivers big time ,1,569
see how many times they can work the words `` radical '' or `` suck '' into a sentence ,0,570
give you enough to feel good about ,1,571
unexpectedly insightful ,1,572
allen 's romantic comedies so pertinent and enduring ,1,573
"is an extraordinary film , not least ",1,574
a doubt ,0,575
maudlin or ,0,576
with the the wisdom and humor of its subjects ,1,577
a party-hearty teen flick that scalds like acid . ,0,578
"the wan , thinly sketched story ",0,579
provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen ,1,580
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,0,581
again dazzle and delight us ,1,582
"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ",1,583
aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film ,1,584
"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was . ",1,585
failure to construct a story with even a trace of dramatic interest ,0,586
but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,0,587
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ",0,588
laughed at ,1,589
", future lizard endeavors will need to adhere more closely to the laws of laughter ",0,590
a philosophical void ,0,591
unlikable characters and a self-conscious sense ,0,592
intelligence or invention ,1,593
hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,0,594
hopelessly juvenile ,0,595
shakespearean -- both in depth and breadth -- ,1,596
unique directing style ,1,597
required to give this comic slugfest some heart ,0,598
feel more like a non-stop cry for attention ,0,599
hip hop beat ,1,600
feel more like literary conceits than flesh-and-blood humans ,0,601
no explanation ,0,602
funniest and ,1,603
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be ",0,604
starts off witty and sophisticated and you ,1,605
a bargain-basement european pickup ,0,606
", but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons ",1,607
"shines on all the characters , as the direction is intelligently accomplished ",1,608
taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults ,1,609
lead a group of talented friends astray ,1,610
"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ",0,611
