sentence,label,idx,processed_text
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,99,acted directed clear washington certainly new career ahead
in memory ,1,100,memory
respectable new one ,1,101,respectable new one
yet this grating showcase ,0,102,yet grating showcase
hate to tear your eyes away from the images long enough to read the subtitles ,1,103,hate tear eyes away images long enough read subtitles
addition to sporting one of the worst titles in recent cinematic history ,0,104,addition sporting one worst titles recent cinematic history
", this gender-bending comedy is generally quite funny . ",1,105,gender bending comedy generally quite funny
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0,106,build robots haul em theater late show put mystery science theatre 3000 tribute almost certainly going go worst killer website movie year
do n't work in concert ,0,107,n work concert
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ",1,108,direction fluid nonsense authority performances harris phifer cam ron seal deal
would have liked it more if it had just gone that one step further ,1,109,would liked gone one step
"it 's too harsh to work as a piece of storytelling , ",0,110,harsh work piece storytelling
hawaiian shirt ,1,111,hawaiian shirt
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ",1,112,takes classic story casts attractive talented actors uses magnificent landscape create feature film wickedly fun watch
provide its keenest pleasures ,1,113,provide keenest pleasures
altogether too slight to be called any kind of masterpiece ,0,114,altogether slight called kind masterpiece
grievous but ,0,115,grievous
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0,116,laugh maybe twice completely forgotten movie time get back car parking lot
hopeless ,0,117,hopeless
"unpretentious , charming , quirky , original ",1,118,unpretentious charming quirky original
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0,119,nicks steinberg match creations pure venality giving old college try
very well-written and very well-acted . ,1,120,well written well acted
are n't many conclusive answers in the film ,0,121,n many conclusive answers film
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0,122,clumsy dialogue heavy handed phoney feeling sentiment
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0,123,proves lovely trifle unfortunately little love cuteness
bring tissues . ,1,124,bring tissues
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0,125,film mid low budget betrayed surprisingly shoddy makeup work
brings the proper conviction to his role as ( jason bourne ) . ,1,126,brings proper conviction role jason bourne
"as a young woman of great charm , generosity and diplomacy ",1,127,young woman great charm generosity diplomacy
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1,128,something poignant artist 90 plus years taking effort share impressions life loss time art us
just too silly ,0,129,silly
cinematic bon bons ,1,130,cinematic bon bons
it is supremely unfunny and unentertaining to watch middle-age and ,0,131,supremely unfunny unentertaining watch middle age
a lively and engaging examination of how similar obsessions can dominate a family . ,1,132,lively engaging examination similar obsessions dominate family
irritates and ,0,133,irritates
collapse ,0,134,collapse
so many of the challenges it poses for itself that one can forgive the film its flaws ,1,135,many challenges poses one forgive film flaws
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1,136,serves workable primer region recent history would make terrific 10th grade learning tool
wide-awake all the way through ,1,137,wide awake way
"( vainly , i think ) ",0,138,vainly think
is one big excuse to play one lewd scene after another . ,0,139,one big excuse play one lewd scene another
is effective if you stick with it ,1,140,effective stick
that underscore the importance of family tradition and familial community ,1,141,underscore importance family tradition familial community
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1,142,delivers promises look wild ride ensues brash young men set conquer online world laptops cell phones sketchy business plans
"watching this digital-effects-heavy , supposed family-friendly comedy ",0,143,watching digital effects heavy supposed family friendly comedy
absolutely and completely ridiculous and ,0,144,absolutely completely ridiculous
's a very tasteful rock and roll movie . ,1,145,tasteful rock roll movie
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0,146,movie almost completely lacking suspense surprise consistent emotional conviction
realistic portrayal ,1,147,realistic portrayal
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ",0,148,trying grab lump play doh harder liman tries squeeze story
well-thought stunts or ,1,149,well thought stunts
reveals how important our special talents can be when put in service of of others . ,1,150,reveals important special talents put service others
no lika da ,0,151,lika da
a welcome relief ,1,152,welcome relief
the promise of digital filmmaking ,1,153,promise digital filmmaking
just one that could easily wait for your pay per view dollar ,0,154,one could easily wait pay per view dollar
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0,155,justify theatrical simulation death camp auschwitz ii birkenau
extraordinary faith ,1,156,extraordinary faith
have i seen a film so willing to champion the fallibility of the human heart ,1,157,seen film willing champion fallibility human heart
", sometimes beautiful adaptation ",1,158,sometimes beautiful adaptation
about as interesting ,0,159,interesting
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",1,160,caruso sometimes descends sub tarantino cuteness part makes sure salton sea works way good noir keeping tight nasty
"overlong , and bombastic ",0,161,overlong bombastic
derivative and hammily ,0,162,derivative hammily
"most audacious , outrageous , ",1,163,audacious outrageous
at its best moments ,1,164,best moments
disney again ransacks its archives for a quick-buck sequel . ,0,165,disney ransacks archives quick buck sequel
"that final , beautiful scene ",1,166,final beautiful scene
"some movies suck you in despite their flaws , ",1,167,movies suck despite flaws
"eats , meddles , argues , laughs , kibbitzes and fights ",1,168,eats meddles argues laughs kibbitzes fights
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ",0,169,problem film whether ambitions laudable justify theatrical simulation death camp auschwitz ii birkenau
", compelling ",1,170,compelling
infectiously ,1,171,infectiously
"the picture runs a mere 84 minutes , but it 's no glance . ",1,172,picture runs mere 84 minutes glance
think of this dog of a movie ,0,173,think dog movie
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,1,174,remarkable procession sweeping pictures reinvigorated romance genre
those so-so films that could have been much better ,0,175,films could much better
a passable date film ,1,176,passable date film
imax in short ,1,177,imax short
i hate it . ,0,178,hate
's pleasant enough -- and oozing with attractive men ,1,179,pleasant enough oozing attractive men
"no one involved , save dash , shows the slightest aptitude for acting ",0,180,one involved save dash shows slightest aptitude acting
in this wildly uneven movie ,0,181,wildly uneven movie
"pokes , provokes , takes expressionistic license ",1,182,pokes provokes takes expressionistic license
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0,183,like one spears music videos content except goes least 90 minutes worse pay want see
"with color and depth , and rather a good time ",1,184,color depth rather good time
"silly , outrageous , ingenious ",1,185,silly outrageous ingenious
being able to hit on a 15-year old when you 're over 100 ,0,186,able hit 15 year old 100
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",0,187,story trouble every day sketchy amounts little preliminary notes science fiction horror film movie fragmentary narrative style makes piecing story together frustrating difficult
the year 's best and most unpredictable comedy ,1,188,year best unpredictable comedy
starts off so bad that you feel like running out screaming ,0,189,starts bad feel like running screaming
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0,190,men black ii achieves ultimate insignificance sci fi comedy spectacle whiffle ball epic
elvira fans could hardly ask for more . ,1,191,elvira fans could hardly ask
a good one ,1,192,good one
", plodding picture ",0,193,plodding picture
"the character dramas , which never reach satisfying conclusions ",0,194,character dramas never reach satisfying conclusions
lost in the translation this time ,0,195,lost translation time
speak for it while it forces you to ponder anew what a movie can be ,1,196,speak forces ponder anew movie
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,1,197,enables shafer navigate spaces large small considerable aplomb
a plot cobbled together from largely flat and uncreative moments ,0,198,plot cobbled together largely flat uncreative moments
inane and awful ,0,199,inane awful
told in scattered fashion ,0,200,told scattered fashion
takes chances that are bold by studio standards ,1,201,takes chances bold studio standards
"believe it or not , jason actually takes a backseat in his own film to special effects ",0,202,believe jason actually takes backseat film special effects
only thing to fear about `` fear dot com '' ,0,203,thing fear fear dot com
whole mess ,0,204,whole mess
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,1,205,manages infuse rocky path sibling reconciliation flashes warmth gentle humor
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,1,206,working surprisingly sensitive script co written gianni romoli ozpetek avoids pitfalls expect potentially sudsy set
a résumé loaded with credits like `` girl in bar # 3 ,0,207,résumé loaded credits like girl bar 3
enjoy the ride ,1,208,enjoy ride
very little to add beyond the dark visions already relayed by superb recent predecessors ,0,209,little add beyond dark visions already relayed superb recent predecessors
"the , yes , snail-like pacing ",0,210,yes snail like pacing
an extremely unpleasant film . ,0,211,extremely unpleasant film
"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,212,n entirely persuasive give exposure talented performers
"the whole affair , true story or not , feels incredibly hokey ... ",0,213,whole affair true story feels incredibly hokey
are all things we 've seen before ,0,214,things seen
poignant and leavened ,1,215,poignant leavened
breathless anticipation ,1,216,breathless anticipation
significantly better ,1,217,significantly better
as predictable as the tides ,0,218,predictable tides
bewilderingly brilliant and entertaining ,1,219,bewilderingly brilliant entertaining
it 's smooth and professional ,1,220,smooth professional
", unassuming , subordinate ",0,221,unassuming subordinate
the horror ,0,222,horror
a technically superb film ,1,223,technically superb film
the positive change in tone here seems to have recharged him . ,1,224,positive change tone seems recharged
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ",1,225,pays earnest homage turntablists beat jugglers old schoolers current innovators
a dim ,0,226,dim
", vicious and absurd ",0,227,vicious absurd
because he acts so goofy all the time ,0,228,acts goofy time
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,1,229,kinetic life teeming even cranky adults may rediscover quivering kid inside
"'s at once laughable and compulsively watchable , ",1,230,laughable compulsively watchable
merit its 103-minute length ,1,231,merit 103 minute length
the value and respect for the term epic cinema ,1,232,value respect term epic cinema
as a dentist 's waiting room ,0,233,dentist waiting room
showing honest emotions ,1,234,showing honest emotions
amazingly lame . ,0,235,amazingly lame
confessions may not be a straightforward bio ,0,236,confessions may straightforward bio
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,0,237,seems disappointingly thin slice lower class london life despite title amounts surprisingly little
the story is bogus and ,0,238,story bogus
this comic gem is as delightful as it is derivative . ,1,239,comic gem delightful derivative
to spare wildlife ,1,240,spare wildlife
ugly as the shabby digital photography ,0,241,ugly shabby digital photography
understand the difference between dumb fun and just plain dumb ,0,242,understand difference dumb fun plain dumb
traditionally structured ,1,243,traditionally structured
frida is n't that much different from many a hollywood romance . ,0,244,frida n much different many hollywood romance
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1,245,point way adventurous indian filmmakers toward crossover nonethnic markets
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1,246,worth price admission gory mayhem idea good time
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0,247,produced jerry bruckheimer directed joel schumacher reflects worst shallow styles wildly overproduced inadequately motivated every step way demographically targeted please every one one
carnage and ,0,248,carnage
"degraded , handheld blair witch video-cam footage ",0,249,degraded handheld blair witch video cam footage
second fiddle ,0,250,second fiddle
about the folly of superficiality that is itself ,0,251,folly superficiality
"serves as auto-critique , and its clumsiness as its own most damning censure . ",0,252,serves auto critique clumsiness damning censure
tedious norwegian offering which somehow snagged an oscar nomination . ,0,253,tedious norwegian offering somehow snagged oscar nomination
", esther kahn is unusual but unfortunately also irritating . ",0,254,esther kahn unusual unfortunately also irritating
a stylish exercise ,1,255,stylish exercise
halfway through this picture i was beginning to hate it ,0,256,halfway picture beginning hate
a setup so easy it borders on facile ,0,257,setup easy borders facile
a thoroughly awful movie ,0,258,thoroughly awful movie
takes hold and grips hard ,1,259,takes hold grips hard
"look smeary and blurry , to the point of distraction ",0,260,look smeary blurry point distraction
the picture 's fascinating byways ,1,261,picture fascinating byways
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ",0,262,guns cheatfully filmed martial arts disintegrating bloodsucker computer effects jagged camera moves
"breezy , distracted rhythms ",0,263,breezy distracted rhythms
than this mess ,0,264,mess
"evanescent , seamless and sumptuous stream ",1,265,evanescent seamless sumptuous stream
slick and manufactured to claim street credibility . ,1,266,slick manufactured claim street credibility
"take care is nicely performed by a quintet of actresses , ",1,267,take care nicely performed quintet actresses
valuable messages ,1,268,valuable messages
in no small part thanks to lau ,1,269,small part thanks lau
two guys who desperately want to be quentin tarantino when they grow up ,0,270,two guys desperately want quentin tarantino grow
no new plot conceptions ,0,271,new plot conceptions
essentially a collection of bits -- ,0,272,essentially collection bits
does n't bode well for the rest of it ,0,273,n bode well rest
elevated by it -- the kind of movie ,1,274,elevated kind movie
usual worst ,0,275,usual worst
"hugh grant , who has a good line in charm ",1,276,hugh grant good line charm
arrive early and stay late ,1,277,arrive early stay late
"is a pan-american movie , with moments of genuine insight into the urban heart . ",1,278,pan american movie moments genuine insight urban heart
i could have used my two hours better watching being john malkovich again . ,0,279,could used two hours better watching john malkovich
"shot in artful , watery tones of blue , green and brown ",1,280,shot artful watery tones blue green brown
an unorthodox little film noir organized crime story that includes one of the strangest ,1,281,unorthodox little film noir organized crime story includes one strangest
considerable aplomb ,1,282,considerable aplomb
acted by diane lane and richard gere . ,1,283,acted diane lane richard gere
scant ,0,284,scant
an admittedly middling film ,1,285,admittedly middling film
too ludicrous ,0,286,ludicrous
the rock 's fighting skills are more in line with steven seagal ,1,287,rock fighting skills line steven seagal
rich and full ,1,288,rich full
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ",1,289,warm water red bridge celebration feminine energy tribute power women heal
"that uses a sensational , real-life 19th-century crime as a metaphor for ",1,290,uses sensational real life 19th century crime metaphor
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",1,291,home movie leave wanting mention leaving laughs smile face
", the film retains ambiguities that make it well worth watching . ",1,292,film retains ambiguities make well worth watching
ultra-cheesy dialogue ,0,293,ultra cheesy dialogue
added depth and resonance ,1,294,added depth resonance
the sensational ,1,295,sensational
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,1,296,huge screen format make old fashioned nature film educates viewers words pictures entertaining
handsome but unfulfilling suspense drama ,0,297,handsome unfulfilling suspense drama
's not very good either . ,0,298,good either
in her most charmless ,0,299,charmless
makes an unusual but pleasantly haunting debut behind the camera . ,1,300,makes unusual pleasantly haunting debut behind camera
"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ",1,301,fine rousing g rated family film aimed mainly little kids plenty entertainment value keep grown ups squirming seats
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",0,302,everything girls ca n swim even passages sensitive observation feels secondhand familiar good way
the cast is spot on and ,1,303,cast spot
ugly digital video ,0,304,ugly digital video
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1,305,love players brings fore gifted nonsense human beings still inestimable contribution made shared history
rather choppy ,0,306,rather choppy
becomes one more dumb high school comedy about sex gags and prom dates ,0,307,becomes one dumb high school comedy sex gags prom dates
demands and receives excellent performances ,1,308,demands receives excellent performances
"xxx is a blast of adrenalin , ",1,309,xxx blast adrenalin
pure escapism ,1,310,pure escapism
create a film that 's not merely about kicking undead *** ,1,311,create film merely kicking undead
about love and culture ,1,312,love culture
is worse : ,0,313,worse
horrifying ,0,314,horrifying
mourns her tragedies in private ,0,315,mourns tragedies private
the action scenes are poorly delivered ,0,316,action scenes poorly delivered
it 's so bad ,0,317,bad
so bad ,0,318,bad
", 84 minutes is short ",1,319,84 minutes short
"dabbles all around , never gaining much momentum ",0,320,dabbles around never gaining much momentum
a masterpiece ,1,321,masterpiece
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,322,lot casting juliette binoche sand brings role pale dark beauty characteristic warmth
does n't leave you with much . ,0,323,n leave much
good acting ,1,324,good acting
"like most of jaglom 's films , some of it is honestly affecting ",1,325,like jaglom films honestly affecting
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0,326,marivaux rhythms mira sorvino limitations classical actress
is less successful on other levels ,0,327,less successful levels
's still quite worth seeing ,1,328,still quite worth seeing
intelligent and moving . ,1,329,intelligent moving
he appears miserable throughout as he swaggers through his scenes ,0,330,appears miserable throughout swaggers scenes
men ,1,331,men
accomplish what few sequels can ,1,332,accomplish sequels
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0,333,clunky tv movie approach detailing chapter life celebrated irish playwright poet drinker
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,334,sure half dragonfly worse part nothing happening part something happening
"exhilarating , funny and fun . ",1,335,exhilarating funny fun
bound to appeal to women looking for a howlingly trashy time ,1,336,bound appeal women looking howlingly trashy time
", it never quite makes the grade as tawdry trash . ",0,337,never quite makes grade tawdry trash
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,1,338,right stuff silly summer entertainment enough laughs sustain interest end
"endearing , caring ",1,339,endearing caring
"seagal , who looks more like danny aiello these days ",1,340,seagal looks like danny aiello days
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",0,341,enactments however fascinating may history crude serve work especially well
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ",1,342,everything ambitious comic escapade works coppola along sister sofia real filmmaker
the dehumanizing and ego-destroying process ,0,343,dehumanizing ego destroying process
taboo subject matter ,0,344,taboo subject matter
see this ,1,345,see
utterly incompetent conclusion ,0,346,utterly incompetent conclusion
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... ,1,347,always part part wilde droll whimsy helps earnest overcome weaknesses parker creative interference
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,1,348,find rooting gai character avoid fate befallen every carmen
run for cover ,0,349,run cover
low budget ,0,350,low budget
a deceptively casual ode ,1,351,deceptively casual ode
"walked out muttering words like `` horrible '' and `` terrible , '' ",0,352,walked muttering words like horrible terrible
help chicago make the transition from stage to screen with considerable appeal intact ,1,353,help chicago make transition stage screen considerable appeal intact
you have ellen pompeo sitting next to you for the ride ,1,354,ellen pompeo sitting next ride
a giant step backward ,0,355,giant step backward
true fans ,1,356,true fans
just copies ,0,357,copies
quite rich and exciting ,1,358,quite rich exciting
luminous interviews and amazingly evocative film from three decades ago ,1,359,luminous interviews amazingly evocative film three decades ago
"from lynch , jeunet , and von trier while failing to find a spark of its own ",0,360,lynch jeunet von trier failing find spark
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",1,361,ca n help get caught thrill company astonishing growth
this frozen tundra soap opera ,0,362,frozen tundra soap opera
a showdown ,1,363,showdown
is simply too overdone ,0,364,simply overdone
greatly ,1,365,greatly
free ,1,366,free
intriguing species ,1,367,intriguing species
try and evade ,0,368,try evade
"scherfig , who has had a successful career in tv ",1,369,scherfig successful career tv
watching it leaves you giddy ,1,370,watching leaves giddy
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ",1,371,beautifully acted directed clear washington certainly new career ahead chooses
far tamer ,0,372,far tamer
outrageously creative action ,1,373,outrageously creative action
the most purely enjoyable and satisfying evenings ,1,374,purely enjoyable satisfying evenings
is never any question of how things will turn out ,0,375,never question things turn
only open new wounds ,0,376,open new wounds
despite suffering a sense-of-humour failure ,0,377,despite suffering sense humour failure
for a story ,1,378,story
in addition to hoffman 's powerful acting clinic ,1,379,addition hoffman powerful acting clinic
right stuff ,1,380,right stuff
the wonderful cinematography and naturalistic acting ,1,381,wonderful cinematography naturalistic acting
high-concept films ,1,382,high concept films
sleepwalk through vulgarities in a sequel you can refuse ,0,383,sleepwalk vulgarities sequel refuse
with no reason for being ,0,384,reason
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",0,385,film confusing one level another making ararat far demanding needs
"invigorating , surreal , and resonant ",1,386,invigorating surreal resonant
"the chateau , a sense of light-heartedness , that makes it attractive throughout ",1,387,chateau sense light heartedness makes attractive throughout
have a passion for the material ,1,388,passion material
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ",1,389,maybe formula filmmaking nothing wrong film well crafted one
a movie that ca n't get sufficient distance from leroy 's ,0,390,movie ca n get sufficient distance leroy
romanticized rendering ,1,391,romanticized rendering
is terrific as rachel ,1,392,terrific rachel
